,Year,Month,Employee_Sentiment,News_Sentiment,Tweet_Sentiment,Value,Sentiment_Index
19,2012,1,0.5,0.4939,0.17052173913043475,89.85050010624997,0.38814057971014493
20,2012,2,0.5,0.4939,0.17052173913043475,105.7378123875,0.38814057971014493
21,2012,3,0.5,0.4939,0.17052173913043475,114.31477267045453,0.38814057971014493
22,2012,4,0.5,0.4939,0.17052173913043475,109.14818748750001,0.38814057971014493
23,2012,5,0.0,0.4939,0.17052173913043475,100.60857960795455,0.22147391304347827
24,2012,6,0.0,0.0,0.17052173913043475,99.65803544642856,0.05684057971014492
25,2012,7,0.0,0.0,0.17052173913043475,101.24952386309522,0.05684057971014492
26,2012,8,1.0,0.0,0.17052173913043475,94.46110862499998,0.39017391304347826
27,2012,9,-0.1,0.3818,0.17052173913043475,95.31368419078949,0.15077391304347823
28,2012,10,-0.75,0.3818,0.17052173913043475,92.39297624999998,-0.06589275362318843
29,2012,11,0.5,0.4576,0.17052173913043475,102.46960110119046,0.37604057971014493
30,2012,12,0.3,0.20006,0.19878125000000002,111.01582452499997,0.23294708333333333
31,2013,1,-0.25,0.7003,0.420225,114.213690375,0.290175
32,2013,2,0.5,0.7003,0.20371162790697675,121.84151312500003,0.46800387596899223
33,2013,3,-0.5,0.7003,0.22326811594202894,120.43075036875,0.14118937198067633
34,2013,4,-0.75,0.7003,0.3218676470588235,149.9233861818182,0.09072254901960784
35,2013,5,0.1,-0.24695,0.19456535433070868,264.59250055681827,0.015871784776902893
36,2013,6,0.5,0.0,0.09729696969696969,325.9346253187499,0.1990989898989899
37,2013,7,0.16666666666666666,0.0,0.2085285714285714,399.11034077840907,0.12506507936507935
38,2013,8,0.0,-0.0258,0.24312307692307697,487.7073859602275,0.07244102564102566
39,2013,9,0.75,0.0,0.17166896551724137,563.0046240062502,0.30722298850574714
40,2013,10,0.5,0.37986666666666663,0.05405,569.4503242989131,0.31130555555555556
41,2013,11,-1.0,0.3182,0.10000294117647059,447.3751241562501,-0.19393235294117647
42,2013,12,1.0,0.5917,0.24325333333333335,470.9213109880954,0.611651111111111
43,2014,1,0.25,-0.1591,0.25863846153846154,530.5777377499999,0.11651282051282053
44,2014,2,0.75,0.0086,0.20286666666666667,670.5015796315791,0.3204888888888889
45,2014,3,0.0,0.3051333333333333,0.2748761904761905,762.4492858571429,0.19333650793650792
46,2014,4,-1.0,0.07655,0.18438421052631582,675.5950003154763,-0.24635526315789472
47,2014,5,1.0,0.16725,0.1914423076923077,647.9540482619046,0.452897435897436
48,2014,6,1.0,0.041833333333333333,0.19562142857142856,712.1441672440477,0.41248492063492065
49,2014,7,0.0,-0.028874999999999998,0.0753,727.4346599261363,0.015475000000000003
50,2014,8,0.75,0.2732,0.17937826086956524,828.7528570833333,0.40085942028985516
51,2014,9,0.125,-0.11333333333333334,0.21986521739130432,862.7103573809522,0.07717729468599033
52,2014,10,0.2,0.13374000000000003,0.07918571428571429,778.3060872826087,0.13764190476190477
53,2014,11,0.0,0.0,0.10894545454545455,801.0105274013156,0.036315151515151516
54,2014,12,0.6666666666666666,0.0,0.22708,710.9596577727272,0.29791555555555554
55,2015,1,0.8,0.0,0.12250000000000001,659.3416247062502,0.30750000000000005
56,2015,2,0.16666666666666666,0.03423333333333333,0.2492208333333333,682.7285526842102,0.15004027777777776
57,2015,3,0.3,-0.34,0.08778863636363637,634.0057960738635,0.015929545454545446
58,2015,4,-0.1,0.312,0.15643181818181817,686.9761902857143,0.12281060606060605
59,2015,5,0.25,0.39365,0.15208275862068962,785.00162440625,0.26524425287356324
60,2015,6,0.4,0.3296,0.324432,833.3995463465911,0.35134400000000005
61,2015,7,-0.25,0.136375,0.14464444444444444,866.1776111534087,0.01033981481481481
62,2015,8,0.25,-0.007520000000000004,0.31273636363636365,793.0711882559526,0.18507212121212122
63,2015,9,0.3,-0.007520000000000004,0.176330303030303,822.1765479583333,0.156270101010101
64,2015,10,0.5,0.7096,0.2716325301204819,722.7043175852273,0.4937441767068273
65,2015,11,0.5,0.41634000000000004,0.251,716.9602505187498,0.38911333333333337
66,2015,12,0.6,0.0772,0.141846511627907,748.0935232500001,0.273015503875969
67,2016,1,0.375,0.0772,0.11223124999999999,667.6501592171053,0.18814374999999997
68,2016,2,0.4,-0.14049999999999999,0.19456249999999997,551.4159989562501,0.15135416666666668
69,2016,3,0.1,0.5055499999999999,0.17184249999999998,700.2649532670456,0.2591308333333333
70,2016,4,0.65,0.20559999999999998,0.18607500000000005,816.0029753749999,0.34722500000000006
71,2016,5,0.4444444444444444,0.3787,0.2095154761904762,706.699332827381,0.3442199735449736
72,2016,6,0.5625,0.5420499999999999,0.18220138888888887,698.406647528409,0.42891712962962963
73,2016,7,0.7222222222222222,0.5420499999999999,0.16417412587412597,722.46113765625,0.4761487826987827
74,2016,8,0.4666666666666667,0.8555,0.19188684210526316,729.5444237554347,0.5046845029239766
75,2016,9,0.4230769230769231,0.0,0.08825172413793106,658.9559996011906,0.1704428824049514
76,2016,10,0.5333333333333333,-0.50755,0.16153529411764703,657.7943829047618,0.06243954248366013
77,2016,11,0.4,0.2202,0.23593902439024386,615.4833570297617,0.285379674796748
78,2016,12,0.20833333333333334,0.3496333333333334,0.130078,650.2437370535715,0.22934822222222226
79,2017,1,0.34375,0.128,0.18846915887850468,774.3226242687498,0.22007305295950155
80,2017,2,0.7333333333333333,0.467,0.17996569343065696,855.6018834276317,0.46009967558799675
81,2017,3,0.4642857142857143,0.2850333333333333,0.229846218487395,831.0960844930555,0.3263884220354809
82,2017,4,0.26,0.0,0.08837872340425533,988.1188157894735,0.11612624113475178
83,2017,5,0.43478260869565216,0.3612,0.13889465648854962,1026.874090909091,0.3116257550614006
84,2017,6,0.1875,0.2687333333333333,0.09774697674418606,1189.0555227272725,0.18466010335917313
85,2017,7,0.3902439024390244,0.2687333333333333,0.19259925373134323,1071.63305,0.283858829834567
86,2017,8,0.2,-0.765,0.1885695652173913,1138.9463586956522,-0.12547681159420287
87,2017,9,0.2361111111111111,0.0,0.21100545454545458,1165.5071000000003,0.1490388552188552
88,2017,10,0.10416666666666667,0.0,0.21100545454545458,1119.8463863636364,0.10505737373737374
89,2017,11,0.10227272727272728,-0.01465000000000001,0.21100545454545458,993.6945625000001,0.09954272727272728
90,2017,12,0.35135135135135137,0.2263,0.21100545454545458,993.6945625000001,0.262885601965602
